Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
4,7,4,-2,-2,-1,2,-128
0,2,7,-2,-2,-2,-2,-128
-6,-12,-69,-4,-4,-4,-1,-128
-2,-3,3,0,-3,-5,0,-128
-4,-5,-31,-4,-4,0,1,-128
0,-7,22,-12,0,-2,-3,-128
-1,1,9,4,2,-2,-1,-128
1,0,0,-1,3,-1,0,-128
-1,-4,-16,3,1,-2,-1,-128
-2,-2,-8,-1,0,-2,-1,-128
-2,0,19,-3,-1,-2,-4,-128
-1,-2,12,3,-3,0,1,-128
-1,-1,34,5,2,0,-3,-128
-2,-1,4,-3,-1,0,2,-128
0,0,-1,-4,-2,-2,-1,-128
-2,0,0,-2,-1,2,-2,-128
1,-2,-17,-5,-3,-2,-3,-128
-4,-2,31,-4,-5,-2,-1,-128
-2,3,16,-1,-2,0,-1,-128
-1,-2,8,9,0,-2,-3,-128
-2,-1,0,2,-3,3,1,-128
1,1,10,-2,-2,0,-2,-128
-1,1,13,-2,-1,1,0,-128
2,-8,-52,-2,1,-1,-1,-128
0,-5,3,-3,-2,-1,1,-128
-1,2,42,3,-4,-5,-3,-128
-2,4,-12,-13,-4,-5,-2,-128
-3,0,-1,1,-3,0,-2,-128
0,-2,-1,4,-2,-1,-2,-128
0,-3,-7,-2,0,-1,-2,-128
-2,-3,-16,-4,0,-3,-2,-128
-1,1,13,-6,-1,-2,-1,-128
-1,-1,17,3,-1,-1,1,-128
1,0,5,2,2,1,0,-128
-1,1,10,-1,-2,-5,0,-128
-1,-2,-4,2,-1,-1,0,-128
-2,-4,-7,-6,-3,-3,-2,-128
-4,-2,-4,-3,-1,-1,0,-128
-1,-1,2,-1,1,-2,0,-128
-1,-1,-11,-2,-1,-2,-2,-128
-1,-2,5,-1,-4,-2,-1,-128
-2,-3,23,1,-1,0,-2,-128
1,-1,-1,-1,-3,0,0,-128
-3,-1,4,1,-2,-2,-1,-128
1,-3,-56,-6,-2,-2,0,-128
-1,-3,6,2,1,2,0,-128
-5,-2,-6,1,0,-3,0,-128
-4,2,7,0,0,-4,-4,-128
-1,5,15,3,1,2,-2,-128
-3,0,-3,-4,-3,-1,3,-128
-6,-3,-3,2,-3,-2,-4,-128
-2,-4,-20,-2,-2,-2,-5,-128
-3,1,19,2,-2,-2,0,-128
1,3,-3,-1,-2,-4,-2,-128
-1,-1,5,-1,-4,-2,-2,-128
1,-3,-4,0,0,0,0,-128
-1,0,7,1,-4,-5,-2,-128
0,-3,-39,-5,-1,1,-2,-128
-3,0,21,0,3,-2,-1,-128
-2,-1,-10,0,1,0,0,-128
-2,2,-1,-1,-2,-3,2,-128
-3,-3,-7,1,2,-1,0,-128
-2,-2,-12,-1,-3,-4,-1,-128
0,1,11,-5,-3,-5,-1,-128
-1,-1,9,4,-2,-2,-1,-128
2,-1,-20,-4,-4,-1,-2,-128
-2,-3,0,-5,1,0,0,-128
0,-1,-1,-2,2,-1,-2,-128
-1,-3,3,-5,0,-2,0,-128
0,-1,8,2,2,-3,0,-128
-2,-1,-34,-5,-3,-3,-3,-128
-1,-1,-5,-5,-5,-3,-2,-128
-3,-2,3,0,-2,-5,1,-128
2,-5,2,0,-5,-1,1,-128
-3,0,-7,-5,-1,-2,-3,-128
-2,0,43,-3,0,0,-4,-128
-3,-2,-16,0,3,1,-1,-128
-2,-3,-3,-1,-1,0,-1,-128
0,0,1,1,-2,-5,2,-128
1,0,33,-8,-5,-2,-4,-128
-1,-4,-10,-9,-4,-4,-1,-128
1,1,-4,-5,0,-1,0,-128
-2,-6,-7,1,-1,-2,-3,-128
-2,-4,-14,0,-2,1,-3,-128
-1,1,20,7,-2,-1,1,-128
-2,0,44,5,0,2,-1,-128
-1,-1,-55,-6,1,-1,-4,-128
-1,-3,52,-6,0,-4,-1,-128
0,-1,-2,-5,-1,-4,-6,-128
2,1,6,0,-1,1,-2,-128
-1,-1,12,2,-3,-2,0,-128
-1,-4,-28,-2,0,-1,1,-128
-5,-2,-8,-3,0,-2,-4,-128
0,-2,-17,-1,-4,-4,0,-128
0,-4,11,-1,-1,-1,1,-128
-2,-3,2,-1,-1,-2,0,-128
-5,-1,16,-1,-3,-2,-4,-128
2,3,15,5,-1,-1,-1,-128
-4,0,57,-7,-4,-2,-2,-128
-6,-8,-92,-9,-3,0,-1,-128
1,-2,6,1,0,-4,-1,-128
-1,1,-11,0,-1,0,-1,-128
-1,-3,10,-4,-2,-1,0,-128
-6,2,3,3,-4,-3,0,-128
1,1,5,-1,-2,1,-1,-128
-2,0,4,-2,-2,-3,-1,-128
-1,-3,-6,-3,0,-3,-1,-128
2,-3,16,-1,-2,0,-1,-128
0,0,-6,-2,0,1,-1,-128
-2,1,-26,-4,-3,-6,-4,-128
-4,-2,19,3,-2,-4,-1,-128
-2,-4,-16,-22,-5,-2,-2,-128
0,2,10,-2,-2,-1,-2,-128
-2,-3,-7,-2,-3,0,-1,-128
-3,-2,-3,2,1,-3,-3,-128
0,-1,-4,0,4,2,-1,-128
-2,0,-3,0,1,2,-1,-128
-3,1,1,-3,0,-2,-2,-128
-3,-2,2,-2,0,-4,-4,-128
-1,0,-4,0,-6,-4,-4,-128
-1,-2,0,-3,-2,-1,-1,-128
-3,-1,16,1,0,0,-2,-128
-1,-6,-49,-2,2,0,-3,-128
0,-1,-27,-2,0,0,-2,-128
-2,-2,-1,-2,-2,0,-2,-128
-2,0,24,2,-1,-3,-2,-128
-1,-3,-21,-1,-1,-4,0,-128
-3,-2,8,-17,-4,-2,-3,-128
-5,-2,-20,1,-5,-3,-2,-128
-1,-1,11,0,-1,0,0,-128
-2,-1,-9,-1,-1,-5,-1,-128
0,-3,1,2,-3,-1,-2,-128
-1,-3,-4,3,-1,0,-1,-128
-2,-3,-9,-5,-1,3,-1,-128
-2,-4,-1,-3,1,0,1,-128
-2,2,-1,0,1,-3,-1,-128
-2,-2,-10,0,-5,-1,-1,-128
-3,2,22,4,-3,-3,-3,-128
-6,-5,0,-8,-5,-3,0,-128
-3,1,-8,-4,-3,-2,0,-128
-3,0,4,-2,-4,-2,-3,-128
-2,0,3,-1,-3,1,-2,-128
5,5,12,-3,0,-1,1,-128
-1,-5,30,5,-6,-1,-2,-128
-2,-7,-29,-7,-2,-2,-3,-128
-4,-5,-45,-14,-5,-2,-4,-128
-1,-1,-2,-4,-1,-1,-1,-128
-3,-2,-1,1,-2,-3,-4,-128
-1,-1,2,0,0,1,-2,-128
-1,-2,3,4,-2,-3,-2,-128
-3,-1,-18,-2,1,1,-2,-128
-4,0,5,-5,-2,-2,-1,-128
-3,-2,13,-1,2,-2,-1,-128
0,-2,7,-3,-2,-1,1,-128
0,-9,-79,-3,-3,-1,-3,-128
-2,1,7,0,-5,0,0,-128
0,-3,1,-1,0,0,-3,-128
-2,1,-17,-2,1,1,-1,-128
-2,0,28,3,0,0,2,-128
-7,-3,-35,-4,-4,3,-2,-128
-2,-3,18,-4,-4,-4,-2,-128
-3,-2,-13,-2,-3,-6,-3,-128
1,2,10,0,-1,-2,-1,-128
0,-4,-39,-4,-5,-2,-4,-128
-2,-1,2,-6,0,2,-1,-128
-1,-1,3,3,0,1,1,-128
-2,1,0,-2,0,0,-3,-128
-1,0,-14,-2,0,-4,0,-128
-1,-1,30,0,-1,-2,0,-128
-2,-1,-3,6,-3,1,1,-128
-1,0,-23,-6,-4,-2,-2,-128
-4,-4,-13,-10,-6,0,-3,-128
-1,-2,29,0,0,-4,0,-128
-1,-2,-13,0,2,0,-1,-128
0,-1,-5,0,1,0,0,-128
-4,3,5,3,-1,1,1,-128
-3,2,-11,-7,-2,-2,0,-128
-1,-3,9,-1,0,-1,-3,-128
1,-2,-22,-9,-4,-4,-1,-128
-4,-14,-2,3,-1,-2,-1,-128
1,-7,1,2,-1,-3,-2,-128
3,18,8,-2,-2,0,-3,-128
-2,1,5,4,0,1,-3,-128
-3,-7,-12,-8,-1,0,-2,-128
0,-6,6,5,1,1,0,-128
-4,-4,1,0,3,-1,-3,-128
-2,-2,5,-10,-6,-1,-2,-128
1,-5,-21,-7,-5,-5,-3,-128
-5,-5,-8,-1,-4,-1,-5,-128
0,-4,3,5,-1,-1,1,-128
-2,-3,-24,-2,2,-2,-2,-128
-3,0,26,0,-1,-3,-3,-128
-1,1,4,2,0,-4,-2,-128
-3,-5,-15,-3,-3,-2,-3,-128
0,-3,22,-6,-4,-1,0,-128
-2,-2,-37,-3,-1,-3,-1,-128
-4,4,14,0,-2,-3,0,-128
-2,-1,0,-5,-3,2,1,-128
-3,-1,-1,0,0,0,0,-128
-2,-1,3,2,0,-3,1,-128
0,1,-8,-2,1,0,1,-128
-5,-6,-20,2,-2,-4,-4,-128
2,-2,10,-7,-3,-4,-2,-128
-4,4,26,-6,-4,-1,-4,-128
-3,-3,-41,-2,-3,-1,-2,-128
0,-7,-3,2,-1,-3,-4,-128
-4,-1,-8,3,0,-1,-6,-128
2,3,34,-1,-2,-1,-3,-128
-2,1,19,-4,-4,-4,0,-128
-1,-1,-1,-1,1,1,0,-128
-2,-4,-56,0,0,-1,-1,-128
1,0,-9,-5,2,-5,0,-128
-1,2,17,-4,-2,-3,-1,-128
-3,2,2,2,-1,1,-5,-128
-3,0,3,-7,-2,-1,-4,-128
-4,-1,3,-1,-1,-2,-3,-128
-3,-2,-4,0,0,-1,0,-128
-1,1,2,-1,-2,-3,-1,-128
2,-2,2,-1,-2,-2,0,-128
2,0,23,5,-2,0,-4,-128
-4,-10,-71,-12,-4,-2,-2,-128
-2,-4,2,-5,-2,-4,-4,-128
2,-4,-8,0,-3,-3,-3,-128
-2,2,6,0,-2,-2,0,-128
1,1,12,1,-4,-3,0,-128
3,5,-10,0,-1,0,1,-128
-1,-5,1,-2,-1,4,-4,-128
-4,-2,-31,-3,-2,-2,-1,-128
0,1,24,5,-2,2,0,-128
-4,-6,-67,-4,-1,0,-1,-128
-1,3,2,-9,-6,-3,-3,-128
-4,-2,12,1,-5,-4,-4,-128
0,-2,8,4,1,1,1,-128
2,-1,-10,-6,0,-1,0,-128
0,-3,-8,-3,-4,0,-4,-128
-1,0,4,-2,0,-1,0,-128
-2,-1,-17,-3,-4,-1,-2,-128
0,3,13,-4,0,-2,-1,-128
-1,0,11,0,-3,-1,-4,-128
-2,0,32,-1,1,-2,-3,-128
-3,-4,-5,-1,0,-4,1,-128
-2,0,8,4,-1,2,-2,-128
-4,-2,-42,-8,0,-1,-2,-128
-1,-5,-6,-1,-1,-2,-1,-128
-3,-2,-7,-3,1,0,-2,-128
-4,0,-10,0,1,-3,0,-128
0,2,26,1,-3,-2,1,-128
-3,-2,28,-2,-1,-3,-3,-128
1,-1,-86,-7,-1,-7,-4,-128
2,0,0,-7,-1,-1,-3,-128
