Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-3,-4,-5,-24,-8,-4,-4,-128
11,-11,5,21,0,3,-8,-128
0,2,4,12,4,5,5,-128
-7,-23,-5,21,5,-8,-41,-128
-8,-5,-30,-30,-7,-3,30,-128
10,27,4,15,6,12,64,-128
7,-12,4,54,-4,-3,-5,-128
-13,-9,-6,-28,-12,-9,-11,-128
-5,0,11,59,-7,-3,-9,-128
1,6,2,127,7,-1,-6,-128
-3,-5,24,-128,-8,-4,-5,-128
3,-5,-6,109,1,-3,-11,-128
-1,-6,-13,25,4,1,0,-128
0,0,-6,34,-1,-3,-4,-128
-5,43,-4,-9,12,3,-1,-128
2,-14,8,3,25,5,-1,-128
-5,-6,18,13,0,-9,-11,-128
-7,-31,4,-14,-9,-5,-1,-128
1,-6,-9,12,1,0,1,-128
-2,-9,4,-1,-19,-5,-2,-128
4,37,-2,2,-8,4,1,-128
2,7,-4,7,6,5,1,-128
-4,-65,3,-10,13,1,-5,-128
-6,22,-31,-39,-13,-7,-5,-128
-3,-31,-13,-15,4,1,-1,-128
-4,12,3,3,1,0,-1,-128
-4,10,2,40,-14,-2,-3,-128
3,4,-9,-56,2,3,3,-128
2,0,-6,-10,2,-4,2,-128
2,0,20,16,11,7,2,-128
3,0,-3,11,1,2,0,-128
-7,-10,11,-3,-1,1,-1,-128
-3,5,5,-4,9,-2,-5,-128
-1,6,-16,-11,-10,-6,-2,-128
-2,-9,-11,7,-10,0,1,-128
-5,-11,-2,-9,-10,-4,1,-128
-4,-1,3,-1,-7,0,-7,-128
-7,8,11,0,3,-6,-6,-128
-2,-6,-26,-2,50,2,-8,-128
3,1,-16,-19,3,1,3,-128
0,5,30,6,-2,-9,-2,-128
-6,18,14,81,3,-9,-9,-128
-1,-6,-6,-12,-9,1,-4,-128
-2,-11,-7,-13,-20,-3,-1,-128
2,4,-14,5,6,-3,1,-128
3,-2,-9,-22,-62,-9,0,-128
0,-7,-50,9,-16,-3,-5,-128
6,7,-1,-35,-41,-2,0,-128
-5,-1,-17,31,67,1,3,-128
-15,29,6,12,22,-3,-3,-128
1,8,-3,2,-6,-3,-4,-128
5,-58,-10,-14,-3,-3,-5,-128
-13,-113,0,-6,17,6,12,-128
3,21,-13,19,3,-9,-11,-128
-5,17,25,-12,17,-2,-17,-128
-5,-1,-28,-24,-3,4,-6,-128
0,0,-6,-22,-45,-14,-2,-128
2,4,-50,8,-22,-10,-1,-128
4,-5,97,36,13,3,5,-128
-5,-2,-39,-32,32,2,-4,-128
-2,2,-4,8,-29,-2,1,-128
-2,-9,-12,0,12,-1,-1,-128
1,-2,-2,12,-19,-5,1,-128
4,17,23,-5,3,-1,3,-128
-6,3,13,5,39,4,2,-128
2,11,-8,16,1,-5,0,-128
-1,-13,12,-20,-19,-13,-13,-128
-1,-28,-1,-2,2,8,4,-128
-6,-8,0,11,-42,-3,-2,-128
4,34,0,17,80,10,3,-128
1,-33,0,-11,-22,-3,-2,-128
-7,-8,1,-19,-19,-9,-8,-128
-5,-24,-16,1,-8,0,1,-128
3,-32,6,15,0,2,1,-128
5,11,-2,0,6,2,2,-128
-6,3,13,-23,-21,-9,-4,-128
-9,-12,1,20,24,2,1,-128
-4,4,-12,4,-28,-6,2,-128
0,23,-9,-14,2,-3,1,-128
3,0,-7,-9,-18,-7,-7,-128
5,2,-5,17,9,1,-3,-128
2,8,7,9,-3,4,3,-128
-2,4,3,-10,21,-4,-6,-128
1,3,-8,-19,-14,-2,0,-128
-8,-3,-14,18,-6,-5,-7,-128
-6,-9,-13,-38,-8,-1,-8,-128
4,-4,16,2,-11,3,17,-128
1,-13,6,11,-3,0,4,-128
0,-1,54,-14,-8,-1,-9,-128
1,2,0,22,13,-3,9,-128
-8,-11,-1,4,6,-1,-5,-128
-3,1,12,-6,-9,-5,-7,-128
1,-1,2,-15,-12,-1,-2,-128
-3,4,6,-19,-28,-7,-1,-128
-8,-2,-11,-9,-10,-2,-1,-128
